,Seed,Search pattern,Search radius,Max_current,Upper current,Profile,Zwemvaardgheid,Windrichting,Windsnelheid,Uitruktijd,Stamina begin,Overgebleven conditie,Vind tijd,Locatie begin,Locatie eind,Gevonden,Actieduur
4722,3000296,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,2664,1510,577,"(15, 13)","(22, 12)",True,277.00
4723,4000296,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,2405,441,581,"(17, 14)","(22, 15)",True,281.00
4724,5000296,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,3857,1853,1002,"(15, 8)","(52, 5)",True,102.00
4725,6000296,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,3200,936,1197,"(37, 5)","(71, 9)",True,297.00
4726,7000296,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,2785,-2,930,"(26, 13)","(58, 15)",False,Niet gevonden
4727,8000296,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,4636,45,1015,"(17, 10)","(54, 7)",True,115.00
4728,9000296,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,3884,2495,1389,"(35, 14)","(53, 19)",True,489.00
4729,10000296,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,4237,1654,1170,"(26, 14)","(49, 13)",True,270.00
4730,11000296,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,3573,654,973,"(24, 6)","(40, 4)",True,73.00
4731,12000296,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,4605,-2,1025,"(22, 10)","(38, 12)",False,Niet gevonden
4732,13000296,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,3602,2504,549,"(33, 12)","(47, 11)",True,249.00
4733,14000296,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,3052,1292,371,"(25, 6)","(36, 7)",True,71.00
4734,15000296,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,2782,1978,402,"(40, 6)","(51, 7)",True,102.00
4735,16000296,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,2980,1190,398,"(38, 9)","(49, 8)",True,98.00
4736,1000297,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,4140,3054,543,"(32, 8)","(38, 10)",True,243.00
4737,2000297,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,4673,2053,531,"(34, 11)","(42, 11)",True,231.00
4738,3000297,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,2513,1767,373,"(31, 9)","(38, 8)",True,73.00
4739,4000297,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,2478,540,556,"(26, 11)","(31, 12)",True,256.00
4740,5000297,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,3908,1880,1014,"(29, 6)","(58, 4)",True,114.00
4741,6000297,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,2935,716,1240,"(17, 7)","(51, 11)",True,340.00
4742,7000297,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,5150,2156,998,"(16, 5)","(48, 8)",True,98.00
4743,8000297,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,4384,-2,976,"(25, 12)","(62, 10)",False,Niet gevonden
4744,9000297,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,5096,3886,1210,"(15, 11)","(33, 15)",True,310.00
4745,10000297,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,3269,1155,1024,"(39, 7)","(61, 6)",True,124.00
4746,11000297,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,3504,0,1169,"(27, 12)","(49, 9)",False,Niet gevonden
4747,12000297,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,5057,0,1125,"(41, 14)","(57, 16)",False,Niet gevonden
4748,13000297,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,3626,2532,547,"(33, 10)","(47, 9)",True,247.00
4749,14000297,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,4755,2336,417,"(44, 7)","(55, 9)",True,117.00
4750,15000297,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,2973,1805,584,"(21, 11)","(30, 12)",True,284.00
4751,16000297,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,5173,2268,590,"(15, 12)","(27, 10)",True,290.00
4752,1000298,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,5269,4187,541,"(33, 8)","(39, 10)",True,241.00
4753,2000298,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,2437,484,570,"(18, 11)","(27, 10)",True,270.00
4754,3000298,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,5228,4146,541,"(31, 13)","(38, 11)",True,241.00
4755,4000298,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,2638,658,550,"(30, 11)","(34, 11)",True,250.00
4756,5000298,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,5206,2734,1236,"(16, 14)","(53, 11)",True,336.00
4757,6000298,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,3762,1319,1189,"(40, 12)","(74, 16)",True,289.00
4758,7000298,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,4473,735,1246,"(19, 6)","(50, 10)",True,346.00
4759,8000298,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,3437,0,765,"(42, 8)","(73, 6)",False,Niet gevonden
4760,9000298,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,3201,2056,1145,"(43, 10)","(61, 14)",True,245.00
4761,10000298,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,2895,734,1196,"(17, 10)","(40, 9)",True,296.00
4762,11000298,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,2657,-1,887,"(39, 9)","(59, 6)",False,Niet gevonden
4763,12000298,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,5017,0,1116,"(16, 12)","(31, 15)",False,Niet gevonden
4764,13000298,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,4623,3511,556,"(29, 9)","(43, 9)",True,256.00
4765,14000298,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,4205,1997,403,"(39, 6)","(50, 8)",True,103.00
4766,15000298,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,2566,1510,528,"(44, 12)","(54, 13)",True,228.00
4767,16000298,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,3299,1103,548,"(33, 12)","(45, 11)",True,248.00
4768,1000299,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,3583,2471,556,"(26, 8)","(32, 10)",True,256.00
4769,2000299,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,3829,1766,393,"(42, 5)","(47, 5)",True,93.00
4770,3000299,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,3125,2029,548,"(28, 13)","(35, 11)",True,248.00
4771,4000299,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,5200,2694,386,"(38, 7)","(43, 8)",True,86.00
4772,5000299,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,3220,1278,971,"(37, 5)","(39, 3)",True,71.00
4773,6000299,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,4927,2075,1209,"(30, 9)","(64, 13)",True,309.00
4774,7000299,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,4120,499,1207,"(35, 8)","(66, 11)",True,307.00
4775,8000299,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2657,-1,592,"(27, 7)","(51, 6)",False,Niet gevonden
4776,9000299,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,5293,4139,1154,"(40, 13)","(58, 17)",True,254.00
4777,10000299,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,4901,2082,1185,"(22, 10)","(45, 9)",True,285.00
4778,11000299,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,3930,465,1155,"(38, 12)","(59, 10)",True,255.00
4779,12000299,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,3113,0,693,"(37, 12)","(50, 14)",False,Niet gevonden
4780,13000299,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,4433,3691,371,"(24, 9)","(37, 8)",True,71.00
4781,14000299,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,3381,1446,404,"(40, 5)","(51, 7)",True,104.00
4782,15000299,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,4369,3581,394,"(36, 7)","(46, 8)",True,94.00
4783,16000299,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,4169,1949,415,"(44, 9)","(56, 8)",True,115.00
4784,1000300,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,2911,1755,578,"(17, 9)","(23, 11)",True,278.00
4785,2000300,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,3850,1500,533,"(35, 10)","(43, 9)",True,233.00
4786,3000300,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,3539,2453,543,"(30, 12)","(37, 11)",True,243.00
4787,4000300,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,4441,1812,574,"(20, 14)","(24, 14)",True,274.00
4788,5000300,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,4534,2480,1027,"(26, 8)","(62, 6)",True,127.00
4789,6000300,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,3985,1408,1248,"(16, 12)","(50, 16)",True,348.00
4790,7000300,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,3810,147,1221,"(33, 14)","(65, 18)",True,321.00
4791,8000300,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,4041,0,899,"(21, 6)","(40, 4)",False,Niet gevonden
4792,9000300,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,5386,4203,1183,"(29, 13)","(47, 17)",True,283.00
4793,10000300,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,5272,2520,994,"(26, 8)","(48, 7)",True,94.00
4794,11000300,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,3654,708,982,"(22, 7)","(43, 5)",True,82.00
4795,12000300,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,2925,0,651,"(40, 8)","(51, 9)",False,Niet gevonden
4796,13000300,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,5193,4111,541,"(34, 14)","(47, 13)",True,241.00
4797,14000300,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,3615,1220,595,"(15, 13)","(26, 16)",True,295.00
4798,15000300,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,3366,2678,344,"(16, 7)","(26, 7)",True,44.00
4799,16000300,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,4074,1932,392,"(36, 6)","(48, 5)",True,92.00
4800,1000301,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,3524,2408,558,"(27, 13)","(32, 15)",True,258.00
4801,2000301,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,2720,1027,393,"(38, 8)","(46, 8)",True,93.00
4802,3000301,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,4530,3746,392,"(40, 7)","(47, 6)",True,92.00
4803,4000301,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,2711,653,577,"(19, 10)","(24, 11)",True,277.00
4804,5000301,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,2888,924,982,"(42, 5)","(45, 3)",True,82.00
4805,6000301,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,2925,746,1204,"(35, 13)","(69, 18)",True,304.00
4806,7000301,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,4300,727,1191,"(41, 8)","(73, 11)",True,291.00
4807,8000301,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2879,0,641,"(39, 11)","(65, 9)",False,Niet gevonden
4808,9000301,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,3093,1933,1160,"(36, 10)","(54, 14)",True,260.00
4809,10000301,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,4881,2079,1175,"(25, 14)","(47, 13)",True,275.00
4810,11000301,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,4464,981,1161,"(35, 12)","(56, 9)",True,261.00
4811,12000301,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,4844,178,1017,"(40, 5)","(56, 8)",True,117.00
4812,13000301,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,3051,1953,549,"(30, 14)","(44, 14)",True,249.00
