,Seed,Search pattern,Search radius,Max_current,Upper current,Profile,Zwemvaardgheid,Windrichting,Windsnelheid,Uitruktijd,Stamina begin,Overgebleven conditie,Vind tijd,Locatie begin,Locatie eind,Gevonden,Actieduur
262,16000027,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,3550,2379,1171,"(32, 7)","(50, 11)",True,271.00
263,17000027,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,8,15,4613,621,1227,"(26, 12)","(57, 14)",True,327.00
264,18000027,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,15,4243,426,1201,"(37, 12)","(71, 17)",True,301.00
265,19000027,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,3908,-1,870,"(34, 7)","(50, 9)",False,Niet gevonden
266,20000027,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,2940,-2,655,"(25, 6)","(49, 8)",False,Niet gevonden
267,20000027,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,2940,-2,655,"(25, 6)","(49, 8)",False,Niet gevonden
268,20000027,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2940,-2,655,"(25, 6)","(50, 4)",False,Niet gevonden
269,20000027,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2940,-2,655,"(25, 6)","(50, 4)",False,Niet gevonden
270,14000028,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,4689,1884,1242,"(17, 12)","(52, 17)",True,342.00
271,15000028,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,5092,1525,1189,"(41, 8)","(73, 11)",True,289.00
272,16000028,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,2549,1362,1187,"(24, 8)","(42, 12)",True,287.00
273,17000028,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,8,15,5098,1014,1192,"(41, 13)","(72, 14)",True,292.00
274,18000028,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,15,4723,178,1485,"(26, 12)","(60, 19)",True,585.00
275,19000028,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,4546,-2,1012,"(32, 7)","(48, 10)",False,Niet gevonden
276,20000028,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,4017,-1,894,"(30, 5)","(62, 7)",False,Niet gevonden
277,20000028,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,4017,-1,894,"(30, 5)","(62, 7)",False,Niet gevonden
278,20000028,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,4017,-1,894,"(30, 5)","(33, 3)",False,Niet gevonden
