Kolom1	Seed	Label	Search pattern	Search radius	Max_current	Upper current	Profile	Zwemvaardgheid	Windrichting	Windsnelheid	Uitruktijd	Stamina begin	Overgebleven conditie	Vind tijd	Locatie begin	Locatie eind	Gevonden	Actieduur			scenario	sec	min	scec		aandeel	
572	10053	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3091	1999	546	(30, 12)	(36, 14)	True	246									
583	10054	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4646	3852	397	(37, 6)	(43, 8)	True	97									
594	10055	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5094	4012	541	(34, 14)	(39, 16)	True	241									
605	10056	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5105	3935	585	(16, 13)	(22, 16)	True	285									
616	10057	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4746	3590	578	(17, 10)	(23, 12)	True	278									
627	10058	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3852	2724	564	(22, 9)	(28, 11)	True	264									
638	10059	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3516	2394	561	(24, 11)	(29, 13)	True	261									
649	10060	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4580	3840	370	(30, 5)	(36, 6)	True	70									
660	10061	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5087	4021	533	(35, 11)	(41, 13)	True	233									
671	10062	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5028	3832	598	(28, 8)	(34, 11)	True	298									
682	10063	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4705	3571	567	(21, 12)	(27, 14)	True	267									
693	10064	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3643	2585	529	(39, 14)	(45, 16)	True	229									
704	10065	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3338	2292	523	(42, 14)	(48, 16)	True	223									
715	10066	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2817	1709	554	(26, 10)	(32, 12)	True	254									
726	10067	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3748	2640	554	(26, 10)	(32, 12)	True	254									
737	10068	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2854	2184	335	(15, 5)	(21, 6)	True	35									
748	10069	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4876	3750	563	(25, 8)	(30, 10)	True	263									
759	10070	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3422	2390	516	(43, 9)	(49, 11)	True	216									
770	10071	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4280	3126	577	(21, 14)	(27, 16)	True	277									
781	10072	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4161	3365	398	(42, 5)	(48, 7)	True	98									
792	10073	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5202	4442	380	(36, 6)	(42, 7)	True	80									
803	10074	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3275	2607	334	(15, 6)	(21, 7)	True	34									
814	10075	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	2981	1907	537	(34, 12)	(40, 14)	True	237									
