,Seed,Search pattern,Search radius,Max_current,Upper current,Profile,Zwemvaardgheid,Windrichting,Windsnelheid,Uitruktijd,Stamina begin,Overgebleven conditie,Vind tijd,Locatie begin,Locatie eind,Gevonden,Actieduur
59,120004,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,3761,0,837,"(35, 10)","(50, 12)",False,Niet gevonden
60,130004,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,2778,2058,360,"(21, 5)","(34, 5)",True,60.00
61,140004,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,2526,524,580,"(21, 12)","(32, 15)",True,280.00
62,150004,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,2772,1630,571,"(25, 13)","(34, 13)",True,271.00
63,160004,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,4486,1844,573,"(24, 11)","(36, 9)",True,273.00
64,10005,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,5128,4072,528,"(40, 13)","(46, 15)",True,228.00
65,20005,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,4531,2244,388,"(38, 6)","(46, 5)",True,88.00
66,30005,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,5216,4150,533,"(36, 12)","(42, 10)",True,233.00
67,40005,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,4800,2132,534,"(36, 14)","(41, 14)",True,234.00
68,50005,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,3557,1167,1195,"(35, 13)","(71, 10)",True,295.00
69,60005,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,4048,1465,1233,"(20, 9)","(54, 13)",True,333.00
70,70005,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,5090,1376,1238,"(20, 11)","(53, 15)",True,338.00
71,80005,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,4127,-2,919,"(43, 6)","(60, 4)",False,Niet gevonden
72,90005,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,3966,2574,1392,"(36, 14)","(54, 19)",True,492.00
73,100005,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,4092,1573,1155,"(35, 10)","(57, 10)",True,255.00
74,110005,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,4775,1325,1150,"(38, 13)","(59, 10)",True,250.00
75,120005,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,4659,-2,1037,"(22, 11)","(38, 13)",False,Niet gevonden
76,130005,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,3682,2944,369,"(23, 6)","(36, 5)",True,69.00
77,140005,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,3769,1454,529,"(42, 8)","(53, 10)",True,229.00
78,150005,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,5284,4098,593,"(15, 10)","(25, 11)",True,293.00
79,160005,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,2770,1118,364,"(22, 9)","(34, 8)",True,64.00
80,10006,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,3100,2394,353,"(22, 5)","(28, 7)",True,53.00
81,20006,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,5217,2702,388,"(39, 5)","(46, 5)",True,88.00
82,30006,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,4805,3751,527,"(38, 13)","(44, 11)",True,227.00
83,40006,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,2597,675,528,"(40, 9)","(45, 9)",True,228.00
84,50006,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,4962,2860,1051,"(35, 11)","(71, 8)",True,151.00
85,60006,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,4211,1588,1219,"(26, 7)","(60, 11)",True,319.00
86,70006,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,3355,-2,1120,"(27, 7)","(59, 9)",False,Niet gevonden
87,80006,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,3456,0,769,"(26, 5)","(28, 3)",False,Niet gevonden
88,90006,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,3253,2076,1177,"(28, 9)","(46, 13)",True,277.00
89,100006,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,2616,601,1143,"(40, 13)","(62, 13)",True,243.00
90,110006,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,5377,2407,990,"(26, 7)","(47, 5)",True,90.00
91,120006,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,2950,-1,657,"(33, 13)","(45, 14)",False,Niet gevonden
92,130006,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,4769,3947,411,"(43, 6)","(56, 5)",True,111.00
93,140006,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,4970,2131,591,"(16, 9)","(27, 12)",True,291.00
94,150006,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,4426,3680,373,"(27, 8)","(37, 9)",True,73.00
95,160006,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,3052,1310,362,"(22, 8)","(34, 7)",True,62.00
96,10007,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,2997,1869,564,"(23, 9)","(29, 11)",True,264.00
97,20007,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,5221,2806,337,"(19, 5)","(25, 4)",True,37.00
98,30007,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,4875,3717,579,"(16, 11)","(23, 9)",True,279.00
99,40007,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,3002,833,584,"(16, 9)","(20, 10)",True,284.00
100,50007,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,2602,578,1012,"(28, 6)","(57, 4)",True,112.00
101,60007,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,3476,1124,1193,"(38, 13)","(73, 17)",True,293.00
102,70007,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,5155,1399,1252,"(16, 13)","(47, 16)",True,352.00
103,80007,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,3788,0,843,"(16, 12)","(50, 9)",False,Niet gevonden
104,90007,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,3791,2617,1174,"(30, 7)","(48, 11)",True,274.00
105,100007,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,2670,586,1194,"(18, 9)","(41, 9)",True,294.00
106,110007,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,4962,1527,1145,"(39, 14)","(60, 12)",True,245.00
107,120007,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,2406,-1,536,"(35, 14)","(44, 15)",False,Niet gevonden
108,130007,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,3287,2529,379,"(38, 5)","(41, 5)",True,79.00
109,140007,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,4352,1833,534,"(39, 11)","(50, 13)",True,234.00
110,150007,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,2821,1673,574,"(23, 11)","(33, 12)",True,274.00
111,160007,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,5386,2412,589,"(16, 11)","(28, 9)",True,289.00
112,10008,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,4344,3182,581,"(19, 12)","(24, 14)",True,281.00
113,20008,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,3717,1398,540,"(30, 14)","(38, 13)",True,240.00
114,30008,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,3137,1983,577,"(15, 13)","(22, 12)",True,277.00
115,40008,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,5075,2631,376,"(35, 6)","(40, 7)",True,76.00
116,50008,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,3337,953,1192,"(37, 11)","(74, 8)",True,292.00
117,60008,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,3015,831,1179,"(44, 11)","(78, 15)",True,279.00
118,70008,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,3209,-1,1071,"(43, 12)","(75, 14)",False,Niet gevonden
119,80008,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,5279,390,1043,"(30, 10)","(67, 8)",True,143.00
120,90008,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,4474,3294,1180,"(29, 13)","(47, 17)",True,280.00
121,100008,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,4539,2013,1013,"(34, 7)","(56, 6)",True,113.00
122,110008,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,3978,930,1016,"(36, 8)","(57, 5)",True,116.00
123,120008,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,4951,291,1003,"(35, 5)","(50, 8)",True,103.00
124,130008,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,4834,3742,546,"(32, 14)","(45, 13)",True,246.00
125,140008,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,2887,776,574,"(23, 13)","(34, 15)",True,274.00
126,150008,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,3952,3268,342,"(15, 7)","(26, 7)",True,42.00
127,160008,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,2728,770,524,"(44, 11)","(56, 9)",True,224.00
128,10009,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,3811,2691,560,"(25, 8)","(31, 11)",True,260.00
129,20009,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,4006,1956,357,"(23, 7)","(30, 7)",True,57.00
130,30009,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,3249,2523,363,"(35, 5)","(36, 4)",True,63.00
131,40009,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,4678,2058,530,"(40, 10)","(44, 10)",True,230.00
132,50009,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,2924,1024,950,"(29, 5)","(31, 2)",True,50.00
133,60009,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,4867,2053,1191,"(39, 10)","(73, 15)",True,291.00
134,70009,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,4877,1310,1189,"(42, 8)","(74, 10)",True,289.00
135,80009,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,3049,-1,679,"(41, 7)","(69, 5)",False,Niet gevonden
136,90009,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,4845,3644,1201,"(18, 9)","(36, 13)",True,301.00
137,100009,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,3082,921,1133,"(43, 13)","(65, 12)",True,233.00
138,110009,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,3787,865,974,"(18, 9)","(39, 6)",True,74.00
139,120009,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,2895,-2,645,"(19, 8)","(31, 9)",False,Niet gevonden
140,130009,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,2565,1433,566,"(23, 14)","(37, 14)",True,266.00
141,140009,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,3580,1664,361,"(18, 5)","(29, 6)",True,61.00
142,150009,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,2675,1537,569,"(27, 13)","(36, 14)",True,269.00
143,160009,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,4472,1839,571,"(24, 10)","(36, 9)",True,271.00
144,10010,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,2503,1417,543,"(32, 9)","(38, 11)",True,243.00
145,20010,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,2727,756,531,"(36, 10)","(44, 9)",True,231.00
146,30010,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,4182,3092,545,"(29, 14)","(36, 12)",True,245.00
147,40010,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,3841,1394,583,"(16, 11)","(20, 11)",True,283.00
148,50010,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,4968,2964,1002,"(15, 9)","(51, 7)",True,102.00
149,60010,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,2664,282,1494,"(32, 14)","(66, 19)",True,594.00
150,70010,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,4565,1499,1022,"(26, 5)","(58, 8)",True,122.00
151,80010,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,4775,-2,1063,"(26, 14)","(64, 11)",False,Niet gevonden
152,90010,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,3773,2594,1179,"(30, 13)","(48, 17)",True,279.00
153,100010,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,4538,1866,1159,"(31, 14)","(54, 13)",True,259.00
154,110010,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,4107,1098,1003,"(29, 10)","(50, 8)",True,103.00
155,120010,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,3012,-2,671,"(40, 10)","(52, 12)",False,Niet gevonden
156,130010,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,2950,1826,562,"(24, 13)","(38, 13)",True,262.00
157,140010,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,3513,1590,376,"(29, 6)","(40, 7)",True,76.00
158,150010,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,5371,4199,586,"(19, 11)","(29, 12)",True,286.00
159,160010,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,4023,1908,387,"(34, 6)","(46, 5)",True,87.00
160,10011,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,4473,3325,574,"(19, 13)","(25, 15)",True,274.00
161,20011,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,4048,2020,339,"(16, 6)","(23, 6)",True,39.00
162,30011,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,8,5,3617,2499,559,"(24, 14)","(30, 12)",True,259.00
163,40011,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,3857,1813,379,"(35, 5)","(41, 6)",True,79.00
164,50011,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,3026,936,1045,"(35, 9)","(70, 6)",True,145.00
